Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Age,Item_Visibility_Safe,Sales_per_Visibility,MRP_Tier,Item_Category
FDV38,13.35,Low Fat,0.101281,Dairy,55.0956,OUT027,1985,Medium,Tier 3,Supermarket Type3,2020.0372,39,0.101281,19944.878111393056,Medium,Food
FDL44,18.25,Low Fat,0.012300013,Fruits and Vegetables,160.4894,OUT045,2002,Small,Tier 2,Supermarket Type1,3073.9986,22,0.012300013,249918.32122453852,Very High,Food
FDZ47,20.7,Regular,0.0,Baking Goods,98.7042,OUT017,2007,Small,Tier 2,Supermarket Type1,1884.8798,17,0.001,1884879.7999999998,Medium,Snacks
FDT45,15.85,Low Fat,0.057313443,Snack Foods,53.3956,OUT046,1997,Small,Tier 1,Supermarket Type1,1364.89,27,0.057313443,23814.482755816993,Medium,Snacks
FDN23,6.575,Regular,0.075625152,Breads,145.7444,OUT049,1999,Medium,Tier 1,Supermarket Type1,3193.1768,25,0.075625152,42223.74058831644,High,Food
NCP43,17.75,Low Fat,0.030568919,Others,177.866,OUT045,2002,Small,Tier 2,Supermarket Type1,2336.958,22,0.030568919,76448.82699319528,Very High,Non-Food
DRJ24,11.8,Low Fat,0.198424841,Soft Drinks,185.2924,OUT019,1985,Small,Tier 1,Grocery Store,370.1848,39,0.198424841,1865.617218763451,Very High,Drinks
FDA02,13.35,Regular,0.029578726,Dairy,143.5786,OUT027,1985,Medium,Tier 3,Supermarket Type3,3756.4436,39,0.029578726,126998.15401109568,High,Food
FDH33,13.15,Low Fat,0.213125482,Snack Foods,44.9428,OUT019,1985,Small,Tier 1,Grocery Store,175.7712,39,0.213125482,824.7310380276348,Low,Snacks
FDF56,16.7,Regular,0.120137953,Fruits and Vegetables,181.2976,OUT017,2007,Small,Tier 2,Supermarket Type1,3078.6592,17,0.120137953,25626.033431749915,Very High,Food
NCN26,10.85,Low Fat,0.028679894,Household,115.1808,OUT046,1997,Small,Tier 1,Supermarket Type1,2109.2544,27,0.028679894,73544.70696439812,High,Non-Food
FDD22,10.0,Low Fat,0.099804623,Snack Foods,113.7544,OUT049,1999,Medium,Tier 1,Supermarket Type1,3243.7776,25,0.099804623,32501.276018045777,High,Snacks
FDU15,13.65,Regular,0.044526443,Meat,37.9532,OUT010,1998,Small,Tier 3,Grocery Store,71.9064,26,0.044526443,1614.9145351673387,Low,Food
FDB41,19.0,Regular,0.162882227,Frozen Foods,46.8718,OUT010,1998,Small,Tier 3,Grocery Store,189.0872,26,0.162882227,1160.8829488806043,Low,Food
FDZ35,9.6,Regular,0.022404493,Breads,102.499,OUT017,2007,Small,Tier 2,Supermarket Type1,2579.975,17,0.022404493,115154.35765495786,High,Food
FDT60,12.0,Low Fat,0.075975642,Baking Goods,124.1388,OUT017,2007,Small,Tier 2,Supermarket Type1,1486.0656,17,0.075975642,19559.763641089074,High,Snacks
FDE51,5.925,Regular,0.09644909,Dairy,43.8086,OUT035,2004,Small,Tier 2,Supermarket Type1,312.2602,20,0.09644909,3237.5650200535847,Low,Food
NCQ06,13.0,Low Fat,0.041816615,Household,254.5014,OUT035,2004,Small,Tier 2,Supermarket Type1,4845.0266,20,0.041816615,115863.67284869902,Very High,Non-Food
FDS28,8.18,Regular,0.082867689,Frozen Foods,58.5588,OUT017,2007,Small,Tier 2,Supermarket Type1,171.7764,17,0.082867689,2072.8996074694446,Medium,Food
FDH32,12.8,Low Fat,0.076214289,Fruits and Vegetables,96.541,OUT045,2002,Small,Tier 2,Supermarket Type1,1834.279,22,0.076214289,24067.389777788256,Medium,Food
FDW37,19.2,Low Fat,0.124301968,Canned,89.7488,OUT045,2002,Small,Tier 2,Supermarket Type1,2082.6224,22,0.124301968,16754.540845242293,Medium,Food
FDY33,14.5,Regular,0.097201128,Snack Foods,159.4262,OUT046,1997,Small,Tier 1,Supermarket Type1,2705.1454,27,0.097201128,27830.391021799664,Very High,Snacks
FDF17,5.19,Low Fat,0.042861968,Frozen Foods,196.811,OUT017,2007,Small,Tier 2,Supermarket Type1,3731.809,17,0.042861968,87065.74089178546,Very High,Food
FDG56,13.3,Regular,0.0713931,Fruits and Vegetables,61.0536,OUT013,1987,High,Tier 3,Supermarket Type1,1592.5936,37,0.0713931,22307.388249004453,Medium,Food
NCB18,19.6,Low Fat,0.041256807,Household,88.8514,OUT013,1987,High,Tier 3,Supermarket Type1,2125.2336,37,0.041256807,51512.314077044306,Medium,Non-Food
FDU14,17.75,Low Fat,0.034746076,Dairy,248.275,OUT035,2004,Small,Tier 2,Supermarket Type1,998.7,20,0.034746076,28742.814008695543,Very High,Food
FDU22,12.35,Low Fat,0.093441604,Snack Foods,119.1124,OUT049,1999,Medium,Tier 1,Supermarket Type1,3673.8844,25,0.093441604,39317.437230636584,High,Snacks
NCV41,14.35,Low Fat,0.017024598,Health and Hygiene,109.8228,OUT013,1987,High,Tier 3,Supermarket Type1,2099.9332,37,0.017024598,123347.00649025606,High,Non-Food
FDY52,6.365,Low Fat,0.007363189,Frozen Foods,63.2536,OUT045,2002,Small,Tier 2,Supermarket Type1,1225.072,22,0.007363189,166377.91044070714,Medium,Food
DRG48,11.8,Low Fat,0.014484582,Soft Drinks,143.9102,OUT027,1985,Medium,Tier 3,Supermarket Type3,3062.0142,39,0.014484582,211398.17496977132,High,Drinks
FDU01,12.15,Regular,0.011937183,Canned,184.7924,OUT027,1985,Medium,Tier 3,Supermarket Type3,4442.2176,39,0.011937183,372132.82229149033,Very High,Food
NCP53,14.75,Low Fat,0.032862976,Health and Hygiene,238.6906,OUT013,1987,High,Tier 3,Supermarket Type1,4278.4308,37,0.032862976,130189.99861728895,Very High,Non-Food
FDC17,12.15,Low Fat,0.015484763,Frozen Foods,211.9928,OUT049,1999,Medium,Tier 1,Supermarket Type1,631.1784,25,0.015484763,40761.2567270161,Very High,Food
NCZ30,6.59,Low Fat,0.026163192,Household,121.5098,OUT013,1987,High,Tier 3,Supermarket Type1,602.549,37,0.026163192,23030.40852201826,High,Non-Food
FDK03,12.6,Regular,0.073920438,Dairy,255.6356,OUT046,1997,Small,Tier 1,Supermarket Type1,2797.6916,27,0.073920438,37847.33526605998,Very High,Food
FDE08,13.1,Low Fat,0.086352403,Fruits and Vegetables,149.8734,OUT019,1985,Small,Tier 1,Grocery Store,445.4202,39,0.086352403,5158.1679782553365,High,Food
NCM07,14.5,Low Fat,0.03976832,Others,83.9908,OUT027,1985,Medium,Tier 3,Supermarket Type3,2348.9424,39,0.03976832,59065.6683510895,Medium,Non-Food
FDY35,10.6,Regular,0.015950066,Breads,47.7402,OUT027,1985,Medium,Tier 3,Supermarket Type3,1975.4286,39,0.015950066,123850.81039790055,Low,Food
FDS28,12.85,Regular,0.082002559,Frozen Foods,59.2588,OUT027,1985,Medium,Tier 3,Supermarket Type3,1374.2112,39,0.082002559,16758.150193825048,Medium,Food
FDI56,7.325,Low Fat,0.093307668,Fruits and Vegetables,92.7146,OUT013,1987,High,Tier 3,Supermarket Type1,2006.7212,37,0.093307668,21506.49826550161,Medium,Food
FDR23,10.6,Low Fat,0.143199389,Breads,175.837,OUT019,1985,Small,Tier 1,Grocery Store,352.874,39,0.143199389,2464.2144248255136,Very High,Food
FDF29,15.1,Regular,0.019965179,Frozen Foods,130.531,OUT049,1999,Medium,Tier 1,Supermarket Type1,908.817,25,0.019965179,45520.102774936306,High,Food
FDA47,11.65,Regular,0.116108797,Baking Goods,164.121,OUT027,1985,Medium,Tier 3,Supermarket Type3,6035.477,39,0.116108797,51981.22068218483,Very High,Snacks
FDI10,8.51,Regular,0.078339081,Snack Foods,172.9422,OUT013,1987,High,Tier 3,Supermarket Type1,1379.5376,37,0.078339081,17609.826186242855,Very High,Snacks
FDC45,13.1,Low Fat,0.237651344,Fruits and Vegetables,170.2106,OUT019,1985,Small,Tier 1,Grocery Store,171.1106,39,0.237651344,720.0068685494159,Very High,Food
FDA27,20.35,Regular,0.031102571,Dairy,257.2672,OUT017,2007,Small,Tier 2,Supermarket Type1,2045.3376,17,0.031102571,65761.04592768232,Very High,Food
NCR41,17.85,Low Fat,0.018097419,Health and Hygiene,96.9094,OUT018,2009,Medium,Tier 3,Supermarket Type2,1332.9316,15,0.018097419,73653.13252679844,Medium,Non-Food
FDR09,18.25,Low Fat,0.078041216,Snack Foods,258.4962,OUT018,2009,Medium,Tier 3,Supermarket Type2,2848.9582,15,0.078041216,36505.81508109766,Very High,Snacks
NCB06,17.6,Low Fat,0.08226356,Health and Hygiene,160.492,OUT013,1987,High,Tier 3,Supermarket Type1,1278.336,37,0.08226356,15539.517132494631,Very High,Non-Food
FDE53,10.895,Low Fat,0.026880159,Frozen Foods,106.428,OUT046,1997,Small,Tier 1,Supermarket Type1,1491.392,27,0.026880159,55483.005141450245,High,Food
DRE27,11.85,Low Fat,0.222063351,Dairy,99.6726,OUT010,1998,Small,Tier 3,Grocery Store,195.7452,26,0.222063351,881.4835906893975,Medium,Food
NCA06,13.15,Low Fat,0.142589751,Household,35.919,OUT027,1985,Medium,Tier 3,Supermarket Type3,585.904,39,0.142589751,4109.019027601781,Low,Non-Food
FDL56,14.1,Low Fat,0.126292985,Fruits and Vegetables,88.6198,OUT018,2009,Medium,Tier 3,Supermarket Type2,1133.8574,15,0.126292985,8977.99192884704,Medium,Food
FDT09,15.15,Regular,0.012260981,Snack Foods,131.7284,OUT035,2004,Small,Tier 2,Supermarket Type1,1186.4556,20,0.012260981,96766.7758395515,High,Snacks
DRH03,17.25,Low Fat,0.05869048,Dairy,91.612,OUT010,1998,Small,Tier 3,Grocery Store,93.212,26,0.05869048,1588.1962457965926,Medium,Food
NCQ53,17.6,Low Fat,0.018982338,Health and Hygiene,237.059,OUT018,2009,Medium,Tier 3,Supermarket Type2,2836.308,15,0.018982338,149418.26449407864,Very High,Non-Food
NCT18,14.6,Low Fat,0.059405152,Household,179.6976,OUT046,1997,Small,Tier 1,Supermarket Type1,3621.952,27,0.059405152,60970.33469420295,Very High,Non-Food
FDL43,10.1,Low Fat,0.027059264,Meat,76.467,OUT035,2004,Small,Tier 2,Supermarket Type1,1761.041,20,0.027059264,65080.89059628525,Medium,Food
FDJ53,10.5,Low Fat,0.071244438,Frozen Foods,119.2098,OUT035,2004,Small,Tier 2,Supermarket Type1,1325.6078,20,0.071244438,18606.474234522,High,Food
NCQ02,12.6,Low Fat,0.007455054,Household,186.9556,OUT035,2004,Small,Tier 2,Supermarket Type1,3942.8676,20,0.007455054,528885.1831254341,Very High,Non-Food
NCJ05,18.7,Low Fat,0.046088273,Health and Hygiene,153.6682,OUT046,1997,Small,Tier 1,Supermarket Type1,3506.7686,27,0.046088273,76088.08861204237,Very High,Non-Food
FDT40,5.985,Low Fat,0.096185556,Frozen Foods,127.1678,OUT018,2009,Medium,Tier 3,Supermarket Type2,3560.6984,15,0.096185556,37019.05512715443,High,Food
FDA48,12.1,Low Fat,0.11487406,Baking Goods,221.4114,OUT046,1997,Small,Tier 1,Supermarket Type1,5099.3622,27,0.11487406,44390.89381884822,Very High,Snacks
FDV37,13.0,Regular,0.083643716,Canned,196.0426,OUT049,1999,Medium,Tier 1,Supermarket Type1,2570.6538,25,0.083643716,30733.376312453645,Very High,Food
FDX07,19.2,Regular,0.022965292,Fruits and Vegetables,181.695,OUT045,2002,Small,Tier 2,Supermarket Type1,2563.33,22,0.022965292,111617.56619510868,Very High,Food
DRG48,5.78,Low Fat,0.014584584,Soft Drinks,146.3102,OUT045,2002,Small,Tier 2,Supermarket Type1,2187.153,22,0.014584584,149963.3448578307,High,Drinks
FDF44,7.17,Regular,0.059716729,Fruits and Vegetables,130.9968,OUT035,2004,Small,Tier 2,Supermarket Type1,2348.9424,20,0.059716729,39334.74654983195,High,Food
FDS24,20.85,Regular,0.062224479,Baking Goods,88.1514,OUT046,1997,Small,Tier 1,Supermarket Type1,1682.4766,27,0.062224479,27038.821811589616,Medium,Snacks
NCQ50,18.75,Low Fat,0.034360687,Household,215.7218,OUT049,1999,Medium,Tier 1,Supermarket Type1,4274.436,25,0.034360687,124399.02613122955,Very High,Non-Food
FDT25,7.5,Low Fat,0.050708743,Canned,123.4072,OUT013,1987,High,Tier 3,Supermarket Type1,3185.1872,37,0.050708743,62813.373228360244,High,Food
FDO03,10.395,Regular,0.036957777,Meat,230.5352,OUT045,2002,Small,Tier 2,Supermarket Type1,4580.704,22,0.036957777,123944.2513006126,Very High,Food
FDJ55,12.8,Regular,0.023530953,Meat,223.5404,OUT046,1997,Small,Tier 1,Supermarket Type1,1800.3232,27,0.023530953,76508.72448727427,Very High,Food
FDM36,11.65,Regular,0.058681957,Baking Goods,170.4422,OUT013,1987,High,Tier 3,Supermarket Type1,517.3266,37,0.058681957,8815.769385468859,Very High,Snacks
FDM21,20.2,Low Fat,0.064728148,Snack Foods,258.0646,OUT017,2007,Small,Tier 2,Supermarket Type1,5668.6212,17,0.064728148,87575.82867966498,Very High,Snacks
FDK58,11.35,Regular,0.0,Snack Foods,103.0016,OUT035,2004,Small,Tier 2,Supermarket Type1,2125.2336,20,0.001,2125233.6,High,Snacks
FDD26,8.71,Regular,0.120773451,Canned,186.5924,OUT010,1998,Small,Tier 3,Grocery Store,555.2772,26,0.120773451,4597.676024012926,Very High,Food
FDW57,8.31,Regular,0.115911972,Snack Foods,177.3028,OUT045,2002,Small,Tier 2,Supermarket Type1,1948.1308,22,0.115911972,16806.985218058406,Very High,Snacks
FDT32,19.0,Regular,0.10985775,Fruits and Vegetables,188.8214,OUT010,1998,Small,Tier 3,Grocery Store,188.4214,26,0.10985775,1715.1398057943113,Very High,Food
FDT25,7.5,Low Fat,0.050853901,Canned,121.7072,OUT045,2002,Small,Tier 2,Supermarket Type1,367.5216,22,0.050853901,7227.008995829051,High,Food
NCB19,6.525,Low Fat,0.090295708,Household,84.6882,OUT046,1997,Small,Tier 1,Supermarket Type1,601.2174,27,0.090295708,6658.316472805108,Medium,Non-Food
FDD05,12.85,Low Fat,0.029084548,Frozen Foods,122.0098,OUT019,1985,Small,Tier 1,Grocery Store,361.5294,39,0.029084548,12430.291163541548,High,Food
NCE54,13.15,Low Fat,0.026769592,Household,77.0354,OUT027,1985,Medium,Tier 3,Supermarket Type3,2332.2974,39,0.026769592,87124.87661373397,Medium,Non-Food
FDO39,6.985,Regular,0.137580452,Meat,182.8608,OUT049,1999,Medium,Tier 1,Supermarket Type1,4042.7376,25,0.137580452,29384.534948322456,Very High,Food
NCV06,11.3,Low Fat,0.066816565,Household,192.2478,OUT045,2002,Small,Tier 2,Supermarket Type1,1356.2346,22,0.066816565,20297.879724885588,Very High,Non-Food
DRB13,6.115,Regular,0.01179078,Soft Drinks,189.053,OUT010,1998,Small,Tier 3,Grocery Store,948.765,26,0.01179078,80466.686682306,Very High,Drinks
FDX51,9.5,Regular,0.036921781,Meat,194.2452,OUT010,1998,Small,Tier 3,Grocery Store,782.9808,26,0.036921781,21206.474303067884,Very High,Food
FDC38,15.7,Low Fat,0.122742389,Canned,134.2942,OUT045,2002,Small,Tier 2,Supermarket Type1,1192.4478,22,0.122742389,9715.044734871504,High,Food
FDD04,16.0,Low Fat,0.089971292,Dairy,143.2154,OUT046,1997,Small,Tier 1,Supermarket Type1,1701.7848,27,0.089971292,18914.75338600228,High,Food
FDC05,13.1,Regular,0.099186992,Frozen Foods,198.7768,OUT018,2009,Medium,Tier 3,Supermarket Type2,3153.2288,15,0.099186992,31790.74933535639,Very High,Food
DRJ59,10.1,Low Fat,0.0,Hard Drinks,39.0164,OUT027,1985,Medium,Tier 3,Supermarket Type3,1042.6428,39,0.001,1042642.8,Low,Drinks
FDL22,16.85,Low Fat,0.036596012,Snack Foods,90.6488,OUT017,2007,Small,Tier 2,Supermarket Type1,633.8416,17,0.036596012,17319.96371626504,Medium,Snacks
DRH13,11.8,Low Fat,0.041821227,Soft Drinks,107.628,OUT019,1985,Small,Tier 1,Grocery Store,213.056,39,0.041821227,5094.446415931317,High,Drinks
FDV22,14.85,Regular,0.016635488,Snack Foods,157.563,OUT010,1998,Small,Tier 3,Grocery Store,312.926,26,0.016635488,18810.749645576972,Very High,Snacks
FDP07,18.2,Low Fat,0.090084098,Fruits and Vegetables,197.211,OUT045,2002,Small,Tier 2,Supermarket Type1,3142.576,22,0.090084098,34884.91387236846,Very High,Food
FDK27,11.0,Low Fat,0.008960445,Meat,119.1756,OUT049,1999,Medium,Tier 1,Supermarket Type1,1696.4584,25,0.008960445,189327.4720172938,High,Food
FDP31,21.1,Regular,0.162418495,Fruits and Vegetables,64.9168,OUT017,2007,Small,Tier 2,Supermarket Type1,639.168,17,0.162418495,3935.315371565289,Medium,Food
NCI54,15.2,Low Fat,0.056237906,Household,110.7912,OUT010,1998,Small,Tier 3,Grocery Store,109.1912,26,0.056237906,1941.5943403013619,High,Non-Food
DRK35,10.1,Low Fat,0.071498575,Hard Drinks,37.7506,OUT027,1985,Medium,Tier 3,Supermarket Type3,796.9626,39,0.071498575,11146.552221495323,Low,Drinks
NCO07,9.06,Low Fat,0.009791467,Others,213.256,OUT049,1999,Medium,Tier 1,Supermarket Type1,4687.232,25,0.009791467,478705.79556669085,Very High,Non-Food
FDN31,11.5,Low Fat,0.072820885,Fruits and Vegetables,191.253,OUT013,1987,High,Tier 3,Supermarket Type1,3036.048,37,0.072820885,41691.99536643917,Very High,Food
NCO02,11.15,Low Fat,0.073354286,Others,66.8142,OUT035,2004,Small,Tier 2,Supermarket Type1,2372.9112,20,0.073354286,32348.637406136022,Medium,Non-Food
FDQ26,13.5,Regular,0.068010049,Dairy,57.2562,OUT045,2002,Small,Tier 2,Supermarket Type1,770.3306,22,0.068010049,11326.717320847687,Medium,Food
FDQ07,15.1,Regular,0.087406863,Fruits and Vegetables,221.8456,OUT046,1997,Small,Tier 1,Supermarket Type1,663.1368,27,0.087406863,7586.78182970598,Very High,Food
FDB49,8.3,Regular,0.030198228,Baking Goods,98.2384,OUT049,1999,Medium,Tier 1,Supermarket Type1,2167.8448,25,0.030198228,71787.15254418239,Medium,Snacks
FDY44,14.15,Regular,0.024442501,Fruits and Vegetables,196.411,OUT049,1999,Medium,Tier 1,Supermarket Type1,2749.754,25,0.024442501,112498.88053599752,Very High,Food
NCI54,13.15,Low Fat,0.033436336,Household,107.3912,OUT027,1985,Medium,Tier 3,Supermarket Type3,3057.3536,39,0.033436336,91438.05708855181,High,Non-Food
FDV44,8.365,Regular,0.039844429,Fruits and Vegetables,190.1188,OUT046,1997,Small,Tier 1,Supermarket Type1,1904.188,27,0.039844429,47790.57067174937,Very High,Food
FDI48,11.85,Regular,0.055805027,Baking Goods,53.0666,OUT049,1999,Medium,Tier 1,Supermarket Type1,512.666,25,0.055805027,9186.735094671669,Medium,Snacks
NCL05,19.6,Low Fat,0.047888606,Health and Hygiene,42.277,OUT035,2004,Small,Tier 2,Supermarket Type1,605.878,20,0.047888606,12651.81951631668,Low,Non-Food
FDT32,19.0,Regular,0.065735977,Fruits and Vegetables,189.6214,OUT049,1999,Medium,Tier 1,Supermarket Type1,2826.321,25,0.065735977,42995.04060006593,Very High,Food
FDM10,18.25,Low Fat,0.076089711,Snack Foods,212.9218,OUT049,1999,Medium,Tier 1,Supermarket Type1,3846.9924,25,0.076089711,50558.64123337254,Very High,Snacks
FDS21,19.85,Regular,0.020908608,Snack Foods,63.5194,OUT049,1999,Medium,Tier 1,Supermarket Type1,557.2746,25,0.020908608,26652.8790438847,Medium,Snacks
FDD11,12.85,Low Fat,0.030678825,Starchy Foods,251.704,OUT045,2002,Small,Tier 2,Supermarket Type1,3542.056,22,0.030678825,115456.05152739715,Very High,Food
FDL04,12.85,Low Fat,0.111381428,Frozen Foods,106.7622,OUT027,1985,Medium,Tier 3,Supermarket Type3,2964.1416,39,0.111381428,26612.53005303541,High,Food
FDO58,19.6,Low Fat,0.039738393,Snack Foods,163.7526,OUT018,2009,Medium,Tier 3,Supermarket Type2,2960.1468,15,0.039738393,74490.85321593151,Very High,Snacks
FDQ08,15.7,Regular,0.01903743,Fruits and Vegetables,60.5536,OUT017,2007,Small,Tier 2,Supermarket Type1,490.0288,17,0.01903743,25740.281119878047,Medium,Food
FDT28,13.3,Low Fat,0.06356617,Frozen Foods,151.3708,OUT046,1997,Small,Tier 1,Supermarket Type1,3611.2992,27,0.06356617,56811.653116744325,Very High,Food
FDT22,10.395,Low Fat,0.112553853,Snack Foods,59.022,OUT018,2009,Medium,Tier 3,Supermarket Type2,1378.206,15,0.112553853,12244.858467883814,Medium,Snacks
FDB58,10.5,Regular,0.013493914,Snack Foods,143.7154,OUT035,2004,Small,Tier 2,Supermarket Type1,3119.9388,20,0.013493914,231210.8110367385,High,Snacks
FDN45,19.35,Low Fat,0.118102769,Snack Foods,224.8088,OUT046,1997,Small,Tier 1,Supermarket Type1,2013.3792,27,0.118102769,17047.68835690889,Very High,Snacks
FDZ45,14.1,Low Fat,0.06682033,Snack Foods,198.9084,OUT013,1987,High,Tier 3,Supermarket Type1,4761.8016,37,0.06682033,71262.76688546734,Very High,Snacks
FDJ38,8.6,Regular,0.040205535,Canned,188.753,OUT046,1997,Small,Tier 1,Supermarket Type1,7590.12,27,0.040205535,188782.9623458561,Very High,Food
NCT06,17.1,Low Fat,0.038816115,Household,166.4842,OUT045,2002,Small,Tier 2,Supermarket Type1,1326.2736,22,0.038816115,34168.1180612743,Very High,Non-Food
FDU21,13.15,Regular,0.076348933,Snack Foods,32.8558,OUT027,1985,Medium,Tier 3,Supermarket Type3,713.0718,39,0.076348933,9339.6432927229,Low,Snacks
NCP30,20.5,Low Fat,0.032819637,Household,38.9822,OUT049,1999,Medium,Tier 1,Supermarket Type1,982.055,25,0.032819637,29922.78677549054,Low,Non-Food
FDR27,15.1,Regular,0.096249842,Meat,134.4942,OUT049,1999,Medium,Tier 1,Supermarket Type1,2119.9072,25,0.096249842,22025.0460255301,High,Food
FDW39,6.69,Regular,0.0,Meat,176.937,OUT017,2007,Small,Tier 2,Supermarket Type1,4234.488,17,0.001,4234488.0,Very High,Food
DRZ24,11.8,Low Fat,0.0,Soft Drinks,121.044,OUT027,1985,Medium,Tier 3,Supermarket Type3,2396.88,39,0.001,2396880.0,High,Drinks
FDK21,7.905,Low Fat,0.010003987,Snack Foods,250.7408,OUT013,1987,High,Tier 3,Supermarket Type1,5757.8384,37,0.010003987,575554.3664740867,Very High,Snacks
FDJ04,18.0,Low Fat,0.124452048,Frozen Foods,118.5124,OUT046,1997,Small,Tier 1,Supermarket Type1,1303.6364,27,0.124452048,10475.009619769377,High,Food
FDZ13,7.84,Regular,0.154363209,Canned,50.835,OUT017,2007,Small,Tier 2,Supermarket Type1,599.22,17,0.154363209,3881.883538712907,Medium,Food
FDS16,15.15,Regular,0.066551268,Frozen Foods,144.676,OUT017,2007,Small,Tier 2,Supermarket Type1,3954.852,17,0.066551268,59425.64460229368,High,Food
FDD56,15.2,Regular,0.173703549,Fruits and Vegetables,175.8054,OUT010,1998,Small,Tier 3,Grocery Store,1050.6324,26,0.173703549,6048.422188541466,Very High,Food
FDI57,19.85,Low Fat,0.054025644,Seafood,197.2768,OUT046,1997,Small,Tier 1,Supermarket Type1,6503.5344,27,0.054025644,120378.65573615374,Very High,Food
FDQ12,11.65,Low Fat,0.03523927,Baking Goods,231.601,OUT027,1985,Medium,Tier 3,Supermarket Type3,5972.226,39,0.03523927,169476.4392111414,Very High,Snacks
FDI56,7.325,Low Fat,0.093385381,Fruits and Vegetables,91.3146,OUT046,1997,Small,Tier 1,Supermarket Type1,1641.8628,27,0.093385381,17581.582710467286,Medium,Food
NCT42,5.88,Low Fat,0.024937792,Household,148.4392,OUT045,2002,Small,Tier 2,Supermarket Type1,2087.9488,22,0.024937792,83726.28980143872,High,Non-Food
FDM25,10.695,Regular,0.060654268,Breakfast,174.7712,OUT035,2004,Small,Tier 2,Supermarket Type1,3339.6528,20,0.060654268,55060.474886944474,Very High,Food
DRB25,11.8,Low Fat,0.06912336,Soft Drinks,106.0938,OUT027,1985,Medium,Tier 3,Supermarket Type3,2787.0388,39,0.06912336,40319.78190874981,High,Drinks
NCY30,20.25,Low Fat,0.025953257,Household,179.5976,OUT046,1997,Small,Tier 1,Supermarket Type1,2535.3664,27,0.025953257,97689.71963711528,Very High,Non-Food
FDD44,8.05,Regular,0.07884393,Fruits and Vegetables,257.0646,OUT017,2007,Small,Tier 2,Supermarket Type1,8760.5964,17,0.07884393,111113.13705443146,Very High,Food
FDK45,11.65,Low Fat,0.033851785,Seafood,112.186,OUT035,2004,Small,Tier 2,Supermarket Type1,1018.674,20,0.033851785,30092.179777225923,High,Food
FDN45,19.35,Low Fat,0.118342285,Snack Foods,222.6088,OUT045,2002,Small,Tier 2,Supermarket Type1,1789.6704,22,0.118342285,15122.83120103689,Very High,Snacks
FDQ09,7.235,Low Fat,0.058121214,Snack Foods,115.8834,OUT035,2004,Small,Tier 2,Supermarket Type1,1382.2008,20,0.058121214,23781.34771926822,High,Snacks
FDC17,12.15,Low Fat,0.015457803,Frozen Foods,209.9928,OUT035,2004,Small,Tier 2,Supermarket Type1,5259.82,20,0.015457803,340269.5712967748,Very High,Food
FDD45,8.615,Low Fat,0.116152226,Fruits and Vegetables,94.1436,OUT013,1987,High,Tier 3,Supermarket Type1,1512.6976,37,0.116152226,13023.406025813058,Medium,Food
FDD41,6.765,Regular,0.087260103,Frozen Foods,105.0306,OUT046,1997,Small,Tier 1,Supermarket Type1,2090.612,27,0.087260103,23958.394823347848,High,Food
FDU46,10.3,Regular,0.0111263,Snack Foods,87.254,OUT046,1997,Small,Tier 1,Supermarket Type1,1211.756,27,0.0111263,108909.16117667149,Medium,Snacks
FDO45,13.15,Regular,0.038167453,Snack Foods,89.4856,OUT017,2007,Small,Tier 2,Supermarket Type1,1230.3984,17,0.038167453,32236.848500213,Medium,Snacks
FDG41,8.84,Regular,0.076547632,Frozen Foods,109.5228,OUT035,2004,Small,Tier 2,Supermarket Type1,1657.842,20,0.076547632,21657.652322935344,High,Food
DRC13,8.26,Regular,0.0,Soft Drinks,122.573,OUT045,2002,Small,Tier 2,Supermarket Type1,739.038,22,0.001,739038.0,High,Drinks
FDX50,20.1,Low Fat,0.074931201,Dairy,108.9228,OUT018,2009,Medium,Tier 3,Supermarket Type2,1105.228,15,0.074931201,14749.903715009186,High,Food
FDK56,9.695,Low Fat,0.0,Fruits and Vegetables,185.1898,OUT035,2004,Small,Tier 2,Supermarket Type1,2619.2572,20,0.001,2619257.2,Very High,Food
NCL18,18.85,Low Fat,0.16758389,Household,194.6136,OUT046,1997,Small,Tier 1,Supermarket Type1,2721.7904,27,0.16758389,16241.360670169428,Very High,Non-Food
FDN57,18.25,Low Fat,0.054318517,Snack Foods,140.9154,OUT049,1999,Medium,Tier 1,Supermarket Type1,6381.693,25,0.054318517,117486.51017110796,High,Snacks
FDX03,12.35,Regular,0.060800116,Meat,44.4744,OUT027,1985,Medium,Tier 3,Supermarket Type3,769.6648,39,0.060800116,12658.936374397706,Low,Food
NCU17,5.32,Low Fat,0.0,Health and Hygiene,101.7674,OUT013,1987,High,Tier 3,Supermarket Type1,1120.5414,37,0.001,1120541.4000000001,High,Non-Food
FDL14,8.115,Regular,0.032152786,Canned,157.3972,OUT035,2004,Small,Tier 2,Supermarket Type1,1869.5664,20,0.032152786,58146.3267288875,Very High,Food
NCU18,15.1,Low Fat,0.055840055,Household,139.8496,OUT046,1997,Small,Tier 1,Supermarket Type1,1411.496,27,0.055840055,25277.482266090177,High,Non-Food
NCH43,8.42,Low Fat,0.070968081,Household,215.9192,OUT017,2007,Small,Tier 2,Supermarket Type1,1941.4728,17,0.070968081,27356.986023054505,Very High,Non-Food
